quote_text,author,tags,likes
I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.,"Frank Herbert,","['bene-gesserit', 'fear', 'litany-against-fear', 'motivational', 'scifi']",0
Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,"Roy T. Bennett,","['attitude', 'choice', 'giving', 'happiness', 'inspirational', 'kindness', 'life-and-living', 'life-lessons', 'motivational', 'positive-affirmation']",0
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett,","['dreams', 'fearless', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.","Roy T. Bennett,","['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']",0
Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"Roy T. Bennett,","['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose', 'vision']",0
"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,"['change', 'focus', 'grow', 'growth', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'stay-focused', 'step-out-of-comfort-zone', 'transform']",0
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","Steve Maraboli,","['forgiveness', 'inspirational', 'letting-go', 'life', 'motivational', 'moving-forward', 'truth']",0
"Do what is right, not what is easy nor what is popular.","Roy T. Bennett,","['inspirational', 'integrity', 'motivational', 'what-is-right']",0
"Success is not how high you have climbed, but how you make a positive difference to the world.","Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']",0
"Pursue what catches your heart, not what catches your eyes.","Roy T. Bennett,","['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']",0
"Dare to Be

When a new day begins, dare to smile gratefully.

When there is darkness, dare to be the first to shine a light.

When there is injustice, dare to be the first to condemn it.

When something seems difficult, dare to do it anyway.

When life seems to beat you down, dare to fight back.

When there seems to be no hope, dare to find some.

When you’re feeling tired, dare to keep going.

When times are tough, dare to be tougher.

When love hurts you, dare to love again.

When someone is hurting, dare to help them heal.

When another is lost, dare to help them find the way.

When a friend falls, dare to be the first to extend a hand.

When you cross paths with another, dare to make them smile.

When you feel great, dare to help someone else feel great too.

When the day has ended, dare to feel as you’ve done your best.

Dare to be the best you can –

At all times, Dare to be!","Steve Maraboli,","['compassion', 'dare-to-be', 'gratitude', 'inspirational', 'life', 'motivational', 'seize-the-day', 'smile', 'success']",0
Start each day with a positive thought and a grateful heart.,"Roy T. Bennett,","['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']",0
"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.","Viktor E. Frankl,","['inspirational', 'motivational']",0
"Be grateful for what you already have while you pursue your goals.
If you aren’t grateful for what you already have, what makes you think you would be happy with more.","Roy T. Bennett,","['goal', 'goals', 'gratitude', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.","Roy T. Bennett,","['challenge', 'enjoy-the-journey', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'move-on', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
Be brave to stand for what you believe in even if you stand alone.,"Roy T. Bennett,","['belief', 'beliefs', 'believe', 'courage', 'courage-quotes', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",Steve Maraboli,"['destiny', 'happiness', 'history', 'inspirational', 'let-go', 'letting-go', 'life', 'motivational', 'moving-on', 'success']",0
Never lose hope. Storms make people stronger and never last forever.,"Roy T. Bennett,","['adversity', 'difficulty', 'hope', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'perseverance', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'storms']",0
Do not fear failure but rather fear not trying.,"Roy T. Bennett,","['failure', 'fearless', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'trying']",0
"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.",Zig Ziglar,"['attention', 'direction', 'focus', 'inspirational', 'motivational']",0
